u,v,w
0,5,8
0,17,1
0,22,10
0,24,7
0,27,10
1,3,8
1,4,9
1,9,3
1,11,10
1,14,8
1,15,4
1,17,1
1,19,6
1,24,1
2,0,10
2,4,2
2,9,7
2,12,9
2,13,1
2,14,4
2,17,6
2,20,7
2,26,7
2,27,8
2,28,9
3,5,6
3,18,6
3,20,1
3,21,1
3,25,1
3,27,2
3,29,4
4,0,3
4,5,6
4,7,3
4,9,9
4,11,2
4,14,10
4,17,8
4,18,1
4,22,5
4,25,1
4,26,6
4,28,1
5,6,1
5,8,5
5,9,9
5,10,5
5,14,9
5,26,4
5,27,7
6,1,7
6,5,8
6,20,1
6,22,10
6,25,5
6,27,10
7,4,6
7,8,8
7,9,4
7,10,1
7,26,1
7,28,5
7,29,6
8,3,6
8,11,6
8,12,7
8,15,4
8,22,10
8,25,6
8,27,9
8,28,10
8,29,5
9,7,5
9,8,5
9,11,6
9,23,8
9,25,2
10,0,10
10,6,4
10,12,8
10,17,5
10,18,3
10,19,4
10,20,6
10,25,3
10,28,5
11,1,1
11,7,4
11,8,8
11,13,7
11,14,5
11,15,6
11,17,10
11,21,1
11,22,5
12,7,5
12,11,10
12,14,6
12,16,3
12,24,8
12,25,3
12,26,8
12,27,6
13,3,7
13,14,10
13,17,3
13,18,3
13,23,4
13,26,9
13,28,2
14,7,4
14,8,10
14,9,5
14,10,8
14,13,6
14,20,3
14,23,3
14,26,5
15,5,7
15,11,1
15,13,9
15,21,7
15,26,9
15,27,7
16,0,9
16,2,8
16,4,10
16,7,2
16,11,10
16,14,6
16,17,3
16,19,1
17,7,7
17,18,1
17,25,10
18,0,3
18,6,3
18,8,10
18,9,9
18,10,3
18,13,4
18,14,1
18,23,7
18,24,6
18,25,10
18,26,7
18,28,2
19,13,7
19,14,8
19,17,8
19,20,4
19,22,5
20,1,2
20,2,5
20,5,1
20,16,5
20,17,6
20,22,1
20,25,5
20,27,1
21,0,2
21,2,1
21,3,4
21,22,5
21,23,1
21,26,1
21,27,1
21,28,3
22,3,4
22,4,9
22,5,5
22,6,4
22,8,7
22,11,3
22,19,5
22,27,9
23,0,7
23,2,4
23,3,7
23,5,2
23,6,3
23,9,9
23,12,6
23,19,8
23,21,9
23,22,5
23,26,2
23,27,8
23,29,8
24,2,2
24,5,4
24,7,7
24,8,9
24,9,8
24,12,8
24,13,1
24,16,3
24,18,7
24,19,4
24,21,1
24,25,10
24,26,8
24,27,7
25,2,7
25,4,10
25,5,5
25,7,6
25,10,5
25,11,3
25,13,5
25,14,8
25,16,3
25,20,1
25,21,5
25,23,8
25,24,3
25,26,5
25,27,6
26,0,7
26,3,9
26,4,4
26,5,9
26,6,9
26,11,1
26,12,9
26,16,9
26,17,6
26,24,8
26,25,7
26,29,7
27,0,3
27,2,10
27,3,7
27,4,3
27,5,6
27,9,2
27,10,8
27,12,2
27,16,3
27,18,2
27,24,10
27,28,5
28,0,4
28,1,2
28,6,10
28,8,5
28,16,6
28,19,10
28,21,2
28,26,1
28,27,6
29,2,5
29,5,2
29,16,9
29,23,9
29,26,1
29,28,6
24,23,1
